OBJECTID,COUNTYFP10,MAZ,TAZ,PUMA5,tractid,CensusTract,Bloc_GroupID,BlockGroup,COUNTY,COUNTY_N
1,75,10001,56,2204,6075021300.000000000000000,21300,60750213002.000000000000000,2,SAN FRANCISCO,5
2,75,10002,56,2204,6075021300.000000000000000,21300,60750213002.000000000000000,2,SAN FRANCISCO,5
3,75,10003,10,2204,6075020500.000000000000000,20500,60750205003.000000000000000,3,SAN FRANCISCO,5
4,75,10004,53,2204,6075021200.000000000000000,21200,60750212001.000000000000000,1,SAN FRANCISCO,5
5,75,10005,48,2204,6075021100.000000000000000,21100,60750211004.000000000000000,4,SAN FRANCISCO,5
6,75,10006,48,2204,6075021100.000000000000000,21100,60750211004.000000000000000,4,SAN FRANCISCO,5
7,75,10007,65,2204,6075021600.000000000000000,21600,60750216001.000000000000000,1,SAN FRANCISCO,5
8,75,10009,65,2204,6075021600.000000000000000,21600,60750216001.000000000000000,1,SAN FRANCISCO,5
9,75,10012,40,2206,6075021700.000000000000000,21700,60750217003.000000000000000,3,SAN FRANCISCO,5
10,75,10017,583,2207,6075980900.000000000000000,980900,60759809001.000000000000000,1,SAN FRANCISCO,5
11,75,10018,574,2203,6075061400.000000000000000,61400,60750614002.000000000000000,2,SAN FRANCISCO,5
12,75,10021,618,2207,6075980900.000000000000000,980900,60759809001.000000000000000,1,SAN FRANCISCO,5
13,75,10022,116,2207,6075023200.000000000000000,23200,60750232003.000000000000000,3,SAN FRANCISCO,5
14,75,10023,125,2204,6075025100.000000000000000,25100,60750251002.000000000000000,2,SAN FRANCISCO,5
15,75,10024,622,2207,6075023102.000000000000000,23102,60750231022.000000000000000,2,SAN FRANCISCO,5
16,75,10025,623,2207,6075023102.000000000000000,23102,60750231021.000000000000000,1,SAN FRANCISCO,5
17,75,10030,250,2201,6075045100.000000000000000,45100,60750451001.000000000000000,1,SAN FRANCISCO,5
18,75,10038,363,2203,6075012501.000000000000000,12501,60750125012.000000000000000,2,SAN FRANCISCO,5
19,75,10039,330,2207,6075026404.000000000000000,26404,60750264042.000000000000000,2,SAN FRANCISCO,5
20,75,10044,635,2206,6075031302.000000000000000,31302,60750313023.000000000000000,3,SAN FRANCISCO,5
21,75,10045,635,2206,6075031302.000000000000000,31302,60750313023.000000000000000,3,SAN FRANCISCO,5
22,75,10047,199,2206,6075026100.000000000000000,26100,60750261001.000000000000000,1,SAN FRANCISCO,5
23,75,10048,636,2206,6075026100.000000000000000,26100,60750261002.000000000000000,2,SAN FRANCISCO,5
24,75,10049,100,2207,6075023001.000000000000000,23001,60750230012.000000000000000,2,SAN FRANCISCO,5
25,75,10052,453,2206,6075031201.000000000000000,31201,60750312011.000000000000000,1,SAN FRANCISCO,5
26,75,10053,553,2207,6075061200.000000000000000,61200,60750612002.000000000000000,2,SAN FRANCISCO,5
27,75,10054,553,2207,6075061200.000000000000000,61200,60750612002.000000000000000,2,SAN FRANCISCO,5
28,75,10055,39,2203,6075061500.000000000000000,61500,60750615005.000000000000000,5,SAN FRANCISCO,5
29,75,10056,288,2203,6075060700.000000000000000,60700,60750607001.000000000000000,1,SAN FRANCISCO,5
30,75,10060,84,2203,6075022600.000000000000000,22600,60750226001.000000000000000,1,SAN FRANCISCO,5
31,75,10062,117,2207,6075023200.000000000000000,23200,60750232001.000000000000000,1,SAN FRANCISCO,5
32,75,10063,188,2207,6075025800.000000000000000,25800,60750258002.000000000000000,2,SAN FRANCISCO,5
33,75,10064,294,2207,6075061000.000000000000000,61000,60750610001.000000000000000,1,SAN FRANCISCO,5
34,75,10065,294,2207,6075061000.000000000000000,61000,60750610001.000000000000000,1,SAN FRANCISCO,5
35,75,10071,438,2202,6075013200.000000000000000,13200,60750132003.000000000000000,3,SAN FRANCISCO,5
36,75,10072,438,2202,6075013200.000000000000000,13200,60750132003.000000000000000,3,SAN FRANCISCO,5
37,75,10073,461,2202,6075013400.000000000000000,13400,60750134003.000000000000000,3,SAN FRANCISCO,5
38,75,10074,471,2201,6075015300.000000000000000,15300,60750153002.000000000000000,2,SAN FRANCISCO,5
39,75,10075,471,2201,6075015300.000000000000000,15300,60750153002.000000000000000,2,SAN FRANCISCO,5
40,75,10076,471,2201,6075015300.000000000000000,15300,60750153002.000000000000000,2,SAN FRANCISCO,5
41,75,10077,434,2202,6075013000.000000000000000,13000,60750130003.000000000000000,3,SAN FRANCISCO,5
42,75,10078,478,2201,6075015500.000000000000000,15500,60750155003.000000000000000,3,SAN FRANCISCO,5
43,75,10079,398,2202,6075011200.000000000000000,11200,60750112001.000000000000000,1,SAN FRANCISCO,5
44,75,10084,366,2202,6075012602.000000000000000,12602,60750126022.000000000000000,2,SAN FRANCISCO,5
45,75,10086,404,2203,6075011700.000000000000000,11700,60750117002.000000000000000,2,SAN FRANCISCO,5
46,75,10087,401,2202,6075010500.000000000000000,10500,60750105002.000000000000000,2,SAN FRANCISCO,5
47,75,10094,420,2205,6075020401.000000000000000,20401,60750204011.000000000000000,1,SAN FRANCISCO,5
48,75,10098,490,2205,6075032601.000000000000000,32601,60750326012.000000000000000,2,SAN FRANCISCO,5
49,75,10099,489,2205,6075032601.000000000000000,32601,60750326011.000000000000000,1,SAN FRANCISCO,5
50,75,10101,281,2205,6075030302.000000000000000,30302,60750303023.000000000000000,3,SAN FRANCISCO,5
51,75,10102,491,2205,6075032601.000000000000000,32601,60750326013.000000000000000,3,SAN FRANCISCO,5
52,75,10104,6,2204,6075020300.000000000000000,20300,60750203002.000000000000000,2,SAN FRANCISCO,5
53,75,10107,563,2204,6075020100.000000000000000,20100,60750201002.000000000000000,2,SAN FRANCISCO,5
